window_num,window_center_um,window_start_um,window_end_um,field_at_zero,mag_mean_at_zero,mag_sem_at_zero,domain_mean_at_zero,domain_std_at_zero,n_shots_at_zero
0,950.0,910.0,990.0,130.44,625663308.8251985,98643345.75979812,994.4285714285714,25.70899416454057,7
1,960.0,920.0,1000.0,130.44,634096102.8798686,99659105.17502882,994.4285714285714,25.70899416454057,7
2,970.0,930.0,1010.0,130.44,637716802.3712617,100387792.65270399,994.4285714285714,25.70899416454057,7
3,980.0,940.0,1020.0,130.44,641535427.8372536,100788847.26751733,994.4285714285714,25.70899416454057,7
4,990.0,950.0,1030.0,130.44,646243253.6825047,101357379.0335046,994.4285714285714,25.70899416454057,7
5,1000.0,960.0,1040.0,130.44,648650216.2788326,101593976.94030115,994.4285714285714,25.70899416454057,7
6,1010.0,970.0,1050.0,130.44,647998973.1042286,101421737.7892978,994.4285714285714,25.70899416454057,7
7,1020.0,980.0,1060.0,130.44,642106563.8608531,100537675.75163127,994.4285714285714,25.70899416454057,7
8,1030.0,990.0,1070.0,130.44,638998230.7397888,99805674.94527268,994.4285714285714,25.70899416454057,7
9,1040.0,1000.0,1080.0,130.44,630862046.7830555,98750004.6559909,994.4285714285714,25.70899416454057,7
10,1050.0,1010.0,1090.0,130.44,624050745.8727453,97562428.50229098,994.4285714285714,25.70899416454057,7
11,1060.0,1020.0,1100.0,130.44,617958431.5883569,96375124.0207223,994.4285714285714,25.70899416454057,7
12,1070.0,1030.0,1110.0,130.44,612692597.6296618,95451301.33688769,994.4285714285714,25.70899416454057,7
13,1080.0,1040.0,1120.0,130.44,605537100.2848566,93954055.07942392,994.4285714285714,25.70899416454057,7
14,1090.0,1050.0,1130.0,130.44,598756311.023826,92600317.42851481,994.4285714285714,25.70899416454057,7
15,1100.0,1060.0,1140.0,130.44,597288552.0661353,92084309.91547301,994.4285714285714,25.70899416454057,7
16,1110.0,1070.0,1150.0,130.44,594048152.941303,91473310.43242265,994.4285714285714,25.70899416454057,7
17,1120.0,1080.0,1160.0,130.44,591948442.1946212,90788094.89652985,994.4285714285714,25.70899416454057,7
18,1130.0,1090.0,1170.0,130.44,593389709.3997432,90102032.68433352,994.4285714285714,25.70899416454057,7
19,1140.0,1100.0,1180.0,130.46,597196283.3867284,42428412.23381865,975.5,0.7071067811865476,2
20,1150.0,1110.0,1190.0,130.46,587461991.9232292,42454641.88472003,975.5,0.7071067811865476,2
21,1160.0,1120.0,1200.0,130.46,579479164.0915953,46299169.57505503,975.5,0.7071067811865476,2
22,1170.0,1130.0,1210.0,130.46,571245480.4969152,46377110.61638101,975.5,0.7071067811865476,2
23,1180.0,1140.0,1220.0,130.46,564531487.9573708,45277052.56160718,975.5,0.7071067811865476,2
24,1190.0,1150.0,1230.0,130.46,556459778.3935577,42120139.784237474,975.5,0.7071067811865476,2
25,1200.0,1160.0,1240.0,130.46,552607485.5147309,39406920.913716674,975.5,0.7071067811865476,2
26,1210.0,1170.0,1250.0,130.46,543438947.392422,38754893.94518008,975.5,0.7071067811865476,2
27,1220.0,1180.0,1260.0,130.46,527545774.18881154,38390959.806028746,975.5,0.7071067811865476,2
28,1230.0,1190.0,1270.0,130.46,508452859.73485774,39558171.25122779,975.5,0.7071067811865476,2
29,1240.0,1200.0,1280.0,130.46,484526443.2365402,35702381.8292135,975.5,0.7071067811865476,2
30,1250.0,1210.0,1290.0,130.385,398671537.2737424,24712570.128775567,965.9248366013072,57.152693703046026,306
31,1260.0,1220.0,1300.0,130.32,323884409.01585627,,895.0,,1
32,1270.0,1230.0,1310.0,130.385,273159021.62161237,17339138.439616602,965.9248366013072,57.152693703046026,306
33,1280.0,1240.0,1320.0,130.32,244019868.0413503,,895.0,,1
34,1290.0,1250.0,1330.0,130.32,218376431.8189698,,895.0,,1
35,1300.0,1260.0,1340.0,130.32,199383405.44107455,,895.0,,1
36,1310.0,1270.0,1350.0,130.32,183382542.28064188,,895.0,,1
37,1320.0,1280.0,1360.0,130.32,171745196.75650957,,895.0,,1
38,1330.0,1290.0,1370.0,130.32,163382701.9381161,,895.0,,1
39,1340.0,1300.0,1380.0,130.32,158115487.0095753,,895.0,,1
40,1350.0,1310.0,1390.0,130.32,152639485.24008405,,895.0,,1
41,1360.0,1320.0,1400.0,130.32,151166972.67850304,,895.0,,1
42,1370.0,1330.0,1410.0,130.32,148008156.31310156,,895.0,,1
43,1380.0,1340.0,1420.0,130.32,140106599.82191265,,895.0,,1
